Date,factor,weight
2008-04-30,spx_vs_bcom_6m,0.287364112213589
2008-04-30,vol_regime_3_12,0.19231449371059556
2008-04-30,credit_vs_rates_3m,0.21263588778641102
2008-04-30,spx_mom_12m,0.30768550628940433
2008-05-30,spx_vs_bcom_6m,0.2869943647023962
2008-05-30,vol_regime_3_12,0.17248283961202368
2008-05-30,credit_vs_rates_3m,0.21300563529760377
2008-05-30,spx_mom_12m,0.3275171603879763
2008-06-30,spx_vs_bcom_6m,0.2819224642654992
2008-06-30,credit_vs_rates_3m,0.2180775357345008
2008-06-30,vol_regime_3_12,0.13098361352155108
2008-06-30,spx_mom_12m,0.3690163864784489
2008-07-31,spx_vs_bcom_6m,0.282774656161843
2008-07-31,credit_vs_rates_3m,0.21722534383815695
2008-07-31,vol_regime_3_12,0.0
2008-07-31,spx_mom_12m,0.5
2008-08-29,spx_vs_bcom_6m,0.28535366528385914
2008-08-29,credit_vs_rates_3m,0.21464633471614086
2008-08-29,vol_regime_3_12,0.0
2008-08-29,spx_mom_12m,0.5
2008-09-30,spx_vs_bcom_6m,0.2672927110343198
2008-09-30,vol_regime_3_12,0.16189480017380195
2008-09-30,credit_vs_rates_3m,0.23270728896568016
2008-09-30,spx_mom_12m,0.33810519982619813
2008-10-31,credit_carry_3m,0.36136996949139033
2008-10-31,vol_regime_3_12,0.08856663985858734
2008-10-31,spx_vs_bcom_6m,0.2879135651655965
2008-10-31,spx_mom_12m,0.2621498254844257
2008-11-28,credit_carry_3m,0.3671071984690715
2008-11-28,vol_regime_3_12,0.11366512531086403
2008-11-28,spx_mom_12m,0.29844067751631104
2008-11-28,spx_vs_bcom_6m,0.2207869987037534
2008-12-31,vol_regime_3_12,0.12450050729981796
2008-12-31,credit_carry_3m,0.35724259807939684
2008-12-31,spx_mom_12m,0.2689344980475316
2008-12-31,spx_vs_bcom_6m,0.24932239657325364
2009-01-30,vol_regime_3_12,0.1782730216262722
2009-01-30,credit_carry_3m,0.3153528179081558
2009-01-30,spx_mom_12m,0.38336346495432316
2009-01-30,spx_vs_bcom_6m,0.12301069551124878
2009-02-27,vol_regime_3_12,0.2055491844803841
2009-02-27,credit_carry_3m,0.27157841894225676
2009-02-27,spx_mom_12m,0.46253869224245187
2009-02-27,spx_vs_bcom_6m,0.06033370433490715
2009-03-31,vol_regime_3_12,0.17265752642540225
2009-03-31,credit_carry_3m,0.3449426358386888
2009-03-31,spx_mom_12m,0.419707341950837
2009-03-31,spx_vs_bcom_6m,0.06269249578507205
2009-04-30,credit_carry_3m,0.35758242512223426
2009-04-30,vol_regime_3_12,0.11841360643035893
2009-04-30,spx_mom_12m,0.4328587844418208
2009-04-30,spx_vs_bcom_6m,0.09114518400558604
2009-05-29,credit_carry_3m,0.35248746391269414
2009-05-29,vol_regime_3_12,0.08907454645504771
2009-05-29,spx_mom_12m,0.3611186840733764
2009-05-29,spx_vs_bcom_6m,0.1973193055588818
2009-06-30,credit_carry_3m,0.23385542782882554
2009-06-30,vol_regime_3_12,0.08626968481336976
2009-06-30,rates_change_6m,0.21955962322895695
2009-06-30,spx_mom_12m,0.4603152641288479
2009-07-31,credit_carry_3m,0.38712268711239267
2009-07-31,vol_regime_3_12,0.09611050678500284
2009-07-31,spx_mom_12m,0.33364194576279066
2009-07-31,spx_vs_bcom_6m,0.18312486033981384
2009-08-31,credit_carry_3m,0.42948599561794903
2009-08-31,vol_regime_3_12,0.16842872847745854
2009-08-31,spx_mom_12m,0.4020852759045925
2009-08-31,drawdown_6m,0.0
2009-09-30,credit_carry_3m,0.40311976074586897
2009-09-30,vol_regime_3_12,0.16284277762940952
2009-09-30,spx_mom_12m,0.43403746162472157
2009-09-30,spx_mom_3m,0.0
2009-10-30,credit_carry_3m,0.4399784751334597
2009-10-30,vol_regime_3_12,0.0
2009-10-30,spx_mom_12m,0.3419778708191512
2009-10-30,spx_vs_bcom_6m,0.21804365404738907
2009-11-30,credit_carry_3m,0.41187850912005525
2009-11-30,vol_regime_3_12,0.06420971638328607
2009-11-30,spx_mom_12m,0.31562215302444346
2009-11-30,spx_vs_bcom_6m,0.20828962147221505
2009-12-31,credit_carry_3m,0.3095195113258345
2009-12-31,vol_regime_3_12,0.18240910676009947
2009-12-31,spx_vs_bcom_6m,0.3823444028887708
2009-12-31,rates_change_6m,0.12572697902529523
2010-01-29,vol_regime_3_12,0.1942390919845571
2010-01-29,credit_carry_3m,0.23603396093462667
2010-01-29,rates_change_6m,0.21417433592939142
2010-01-29,drawdown_6m,0.3555526111514248
2010-02-26,vol_regime_3_12,0.12244439201042946
2010-02-26,credit_carry_3m,0.3894823937484145
2010-02-26,spx_vs_bcom_6m,0.20795267984087915
2010-02-26,spx_mom_12m,0.280120534400277
2010-03-31,vol_regime_3_12,0.13933185931546568
2010-03-31,credit_carry_3m,0.20530171599925887
2010-03-31,spx_vs_bcom_6m,0.21323046132111914
2010-03-31,drawdown_6m,0.23055525716085884
2010-03-31,rates_change_6m,0.21158070620329744
2010-04-30,credit_carry_3m,0.39121062641513404
2010-04-30,vol_regime_3_12,0.07022211774792936
2010-04-30,spx_mom_12m,0.305925456403146
2010-04-30,spx_vs_bcom_6m,0.23264179943379054
2010-05-31,credit_carry_3m,0.25387465099707374
2010-05-31,vol_regime_3_12,0.07437280877103986
2010-05-31,drawdown_6m,0.27044986135456806
2010-05-31,spx_vs_bcom_6m,0.19031219922604556
2010-05-31,rates_change_6m,0.21099047965127277
2010-06-30,vol_regime_3_12,0.12990736392139443
