Date,SPX_Price,SPX_Return,Composite_Score,Signal,Position,Forward_Return,Strategy_Return,BH_Return,Strategy_Cumulative,BH_Cumulative,Bench_6040_Return,Bench_6040_Cumulative,Bench_SMA_Return,Bench_SMA_Cumulative,Bench_Random_Return,Bench_Random_Cumulative,Meta_Label,Rolling_Sharpe,Rolling_HitRate,Z1_Momentum,Z2_CrossAsset,Z3_Yield,Z4_Credit,Z5_Vol,Set
1997-12-31,970.43,0.015700000000000002,0.41114056269670546,HOLD,0.0,0.0102,0.0,0.0102,1.0,1.5415499213835533,-0.010390000000000003,1.30899361425244,0.0102,1.323527647757224,0.0,1.0,,,,0.14144492140708523,0.519497282656654,1.0094835053179763,0.4164766093703631,-0.031199505268551298,train
1998-01-30,980.28,0.0102,0.36146755875756764,HOLD,0.0,0.0704,0.0,0.0704,1.0,1.6500750358489555,0.0507412,1.375413521031946,0.0704,1.4167039941593327,0.0,1.0,,,,-0.5605535336182057,0.07805068168748118,0.5833542937836479,0.3781655184507962,1.3283208334841186,train
1998-02-27,1049.34,0.0704,1.062344072591006,BUY,1.0,0.0499,0.0499,0.0499,1.0499,1.7324137801378185,0.0322168,1.4197249433563282,0.0499,1.4873975234678836,0.0,1.0,1.0,1.0,1.0,0.3774183907236932,1.7320384027538533,0.8865804544672342,0.15748686747888435,2.158196247531364,train
1998-03-31,1101.75,0.0499,1.0083734585681015,BUY,1.0,0.0091,0.0091,0.0091,1.0594540900000002,1.748178745537073,0.006662800000000001,1.4291842867089226,0.0091,1.5009328409314415,0.0,1.0,1.0,1.182305810118347,1.0,1.6804641063993861,1.6063643634545237,0.4333672220634626,-0.10027123936186065,1.4219428402849945,train
1998-04-30,1111.75,0.0091,0.9879166731368293,BUY,1.0,-0.018799999999999997,-0.018799999999999997,-0.018799999999999997,1.0395363531080002,1.7153129851209759,-0.0196736,1.401067086725926,-0.018799999999999997,1.4727153035219305,0.0,1.0,0.0,0.7284604129259319,0.6666666666666666,0.8612590655377464,1.9663408152176003,-0.05084093476782703,-0.3090811393712577,2.471905559067884,train
1998-05-29,1090.82,-0.018799999999999997,0.5877649134015184,BUY,1.0,0.0394,0.0394,0.0394,1.0804940854204554,1.7828963167347425,0.016003199999999995,1.4234886435282186,0.0394,1.5307402864806947,0.0,1.0,1.0,1.2125143612091849,0.75,-0.28775868871254556,1.315025899917024,0.22288099841760559,0.165577573732928,1.5230987836525798,train
1998-06-30,1133.84,0.0394,0.5611019155714889,BUY,1.0,-0.0116,-0.0116,-0.0116,1.0679603540295781,1.7622147194606192,-0.0034343999999999993,1.4185998141308853,-0.0116,1.5129836991575185,0.0,1.0,0.0,1.001278793556163,0.6,-0.33558296278328853,1.317523116965595,0.1734581089259861,0.3072744720966849,1.3428368426524673,train
1998-07-31,1120.67,-0.0116,0.054022501503092624,HOLD,1.0,-0.1458,-0.1458,-0.1458,0.9122517344120656,1.505283813363261,-0.125194,1.2409996290005831,-0.1458,1.2923906758203523,0.0,1.0,,-0.4676874925128915,0.6,-1.4776851465650465,1.4626161831859243,-0.33147710599235325,0.014685481279110797,0.6019730956078276,train
1998-08-31,957.28,-0.1458,-0.5852618431769762,SELL,0.0,0.062400000000000004,0.0,0.062400000000000004,0.9122517344120656,1.5992135233171283,-0.007254400000000001,1.2319969212919613,0.062400000000000004,1.3730358539915424,0.06240000000000001,1.0624,0.0,-0.4676874925128915,0.5,-2.2721870680860055,-0.2613391014155083,0.8051191525400532,-0.27804081261008745,-0.9198613863133324,train
1998-09-30,1017.01,0.062400000000000004,-0.21292618978903233,HOLD,0.0,0.0803,0.0,0.0803,0.9122517344120656,1.7276303692394936,0.064922,1.311980625416078,0.0803,1.4832906330670632,0.08030000000000005,1.14771072,,-0.4676874925128915,0.5,-1.9129381290057044,-0.6442241562188117,1.739767412325418,0.7528926604316026,-1.000128736477666,train
1998-10-30,1098.67,0.0803,-0.1293513631274304,HOLD,0.0,0.0591,0.0,0.0591,0.9122517344120656,1.8297333240615477,0.044927999999999996,1.3709252909547716,0.0591,1.5709531094813265,0.059099999999999916,1.215540423552,,-0.4676874925128915,0.5,-0.7025800721064388,0.01367982795355875,1.3666604555589341,0.13708304198474053,-1.4616000690279465,train
1998-11-30,1163.63,0.0591,0.09953238812012716,HOLD,0.0,0.0564,0.0,0.0564,0.9122517344120656,1.9329302835386188,0.028239599999999997,1.409639672801218,0.0564,1.6595548648560734,0.05640000000000009,1.284096903440333,,-0.4676874925128915,0.5,-0.530370524431812,0.8254473118437444,0.9398906660028439,0.7262287435693445,-1.463534256383485,train
1998-12-31,1229.23,0.0564,-0.02207052311813268,HOLD,0.0,0.040999999999999995,0.0,0.040999999999999995,0.9122517344120656,2.012180425163702,0.024857999999999998,1.4446804957877106,0.040999999999999995,1.7275966143151722,0.040999999999999974,1.3367448764813865,,-0.4676874925128915,0.5,-0.06323020887353283,1.021823892508443,0.8454200257297197,-0.5413420157336876,-1.373024309221606,train
1999-01-29,1279.64,0.040999999999999995,0.31744814966792734,HOLD,0.0,-0.0323,-0.0,-0.0323,0.9122517344120656,1.9471869974309144,0.035318,1.495703721537941,-0.0323,1.671795243672792,-0.032299999999999995,1.2935680169710377,,-0.4676874925128915,0.5,0.30819383928565364,1.0615296378752577,0.8966176393860205,0.5560543894459307,-1.2351547576532258,train
1999-02-26,1238.33,-0.0323,0.1270213471790671,HOLD,0.0,0.0388,0.0,0.0388,0.9122517344120656,2.022737852931234,0.0198756,1.5254317304257405,0.0388,1.7366608991272963,0.03879999999999995,1.343758456029514,,-0.8238905617775264,0.4,-0.9064194582091964,1.9558882013896342,-1.0808586211213267,-1.2746613950023142,1.9411580088385387,train
1999-03-31,1286.37,0.0388,-0.10801647722424279,HOLD,0.0,0.0379,0.0,0.0379,0.9122517344120656,2.0993996175573275,0.0308284,1.5724583499839975,0.0379,1.8024803472042208,0.03790000000000002,1.3946869015130325,,-0.8883359336932589,0.25,-0.9929752783372324,1.5202508687495482,-1.8332835341521807,-1.0588984341344874,1.8248239917531384,train
1999-04-30,1335.18,0.0379,-0.19504502043782462,HOLD,0.0,-0.025,-0.0,-0.025,0.9122517344120656,2.0469146271183942,0.005493600000000001,1.5810968071754696,-0.025,1.7574183385241153,-0.02499999999999998,1.3598197289752068,,-0.7654496930775668,0.3333333333333333,-0.6427811160948981,0.6050327883444984,-1.6077913645859299,-1.314554779431949,1.9848693695791555,train
1999-05-31,1301.84,-0.025,-0.39019246942222885,HOLD,0.0,0.054400000000000004,0.0,0.054400000000000004,0.9122517344120656,2.158266782833635,0.04388160000000001,1.6504778648292207,0.054400000000000004,1.8530218961398273,0.05439999999999997,1.433793922231458,,-1.0839795053707255,0.0,-0.7002266136820765,-0.25132365455787015,-1.7609733226628792,-0.8499069183547632,1.6114681621464448,train
1999-06-30,1372.71,0.054400000000000004,-0.6435443117823727,SELL,0.0,-0.032,-0.0,-0.032,0.9122517344120656,2.0892022457829587,-0.010687999999999998,1.6328375574099259,-0.032,1.7937251954633526,-0.032000000000000056,1.3879125167200512,1.0,-1.0,0.5,-0.5138095563638425,-0.9686102651379391,-1.9627575546425717,-1.3342197029925835,1.5616755202250745,train
1999-07-30,1328.72,-0.032,-0.9401501666230905,SELL,0.0,-0.0063,-0.0,-0.0063,0.9122517344120656,2.076040271634526,0.0007600000000000007,1.6340785139535576,-0.0063,1.7824247267319335,-0.006299999999999904,1.379168667864715,1.0,,0.6666666666666666,-0.7524832099616674,-1.6925144355273523,-1.9913060034954058,-1.6173148760876856,1.3528676919566585,train
1999-08-31,1320.41,-0.0063,-0.5658330208470052,SELL,0.0,-0.0286,-0.0,-0.0286,0.9122517344120656,2.0166655198657786,-0.0233912,1.595855456617967,-0.0286,1.7314473795474004,-0.028599999999999907,1.3397244439637843,1.0,,1.0,1.2106559313222411,-2.1129425420617207,-1.1391353932250163,-1.1239092144842842,0.33616611421375475,train
1999-09-30,1282.71,-0.0286,-0.6347692539918749,SELL,0.0,0.0625,0.0,0.0625,0.9122517344120656,2.14270711485739,0.0475052,1.671666889255695,0.0625,1.839662840769113,0.06250000000000004,1.423457221711521,0.0,,0.75,-0.0059289295198182235,-2.1080516234250615,-1.0415708007782014,-0.4443622128231557,0.42606729658686215,train
1999-10-29,1362.93,0.0625,-0.5736956571246217,SELL,0.0,0.0191,0.0,0.0191,0.9122517344120656,2.183632820751166,0.0225488,1.709360971608144,0.0191,1.8748004010278028,0.0,1.423457221711521,0.0,,0.6,-0.2195666548545188,-1.2704846940075496,-1.0700390749003108,-0.017673138174787086,-0.2907147236859424,train
1999-11-30,1388.91,0.0191,-0.6582583526915234,SELL,0.0,0.057800000000000004,0.0,0.057800000000000004,0.9122517344120656,2.3098467977905837,0.050897200000000004,1.796362658852278,0.057800000000000004,1.9831638642072098,0.0,1.423457221711521,0.0,,0.5,-0.7027266020924583,-1.5398606269440942,-0.8975090465511438,0.13040326978944927,-0.2815987576593699,train
1999-12-31,1469.25,0.057800000000000004,-0.7685029205253966,SELL,0.0,-0.0509,-0.0,-0.0509,0.9122517344120656,2.192275595783043,-0.0166932,1.7663756177155252,-0.0509,1.882220823519063,0.0,1.423457221711521,1.0,,0.5714285714285714,-0.6711760862389601,-1.269564159044349,-1.0050770481004456,-0.5615178383870792,-0.33517947085614924,train
2000-01-31,1394.46,-0.0509,-1.143969501410731,SELL,0.0,-0.020099999999999996,-0.0,-0.020099999999999996,0.9122517344120656,2.1482108563078035,-0.027423999999999997,1.7179345327752946,-0.020099999999999996,1.8443881849663297,-0.02010000000000004,1.3948457315551193,1.0,,0.625,-1.7094182830958098,-1.6084329867481206,-1.117035185873268,-0.896541483058656,-0.38841956827780055,train
2000-02-29,1366.42,-0.020099999999999996,-0.9270970046548466,SELL,0.0,0.0967,0.0,0.0967,0.9122517344120656,2.355942846112768,0.03274319999999999,1.7741852067688628,0.0967,2.022740522452574,0.0,1.3948457315551193,0.0,,0.5555555555555556,-1.4968325364791601,-1.360466629469131,-0.6478908872989031,-0.5316179001553709,-0.5986770698716672,train
2000-03-31,1498.58,0.0967,-0.351868618739986,HOLD,0.0,-0.0308,-0.0,-0.0308,0.9122517344120656,2.2833798064524946,-0.004622399999999999,1.7659842130690944,-0.0308,1.9604401143610344,-0.03080000000000006,1.3518844830232215,,,0.5555555555555556,-0.8450631532386859,-0.1683013879061687,-0.19967684832988322,0.0743493817527718,-0.6206510859779638,train
