Date,gross_return,net_return,turnover,equity_gross,equity_net
1996-02-29,0.007104666666666681,0.007104666666666681,0.0,1.0071046666666668,1.0071046666666668
1996-03-29,0.006396124999999994,0.006396124999999994,0.0,1.0135462340027501,1.0135462340027501
1996-04-30,0.0006175833333333285,0.0006175833333333285,0.0,1.014172183264433,1.014172183264433
1996-05-31,0.007267999999999988,0.007267999999999988,0.0,1.021543186692399,1.021543186692399
1996-06-28,-0.016028124999999994,-0.016028124999999994,0.0,1.005169764803195,1.005169764803195
1996-07-31,0.01319866666666666,0.01319866666666666,0.0,1.018436665472244,1.018436665472244
1996-08-30,0.0255622083333333,0.0255622083333333,0.0,1.044470155689351,1.044470155689351
1996-09-30,0.017945208333333316,0.017945208333333316,0.0,1.0632133902311456,1.0632133902311456
1996-10-31,0.044167374999999995,0.044167374999999995,0.0,1.1101727347425059,1.1101727347425059
1996-11-29,-0.013217083333333348,-0.013217083333333348,0.0,1.0954994891930196,1.0954994891930196
1996-12-31,0.01590358333333334,0.01590358333333334,0.0,1.112921856611025,1.112921856611025
1997-01-31,0.004280416666666672,0.004280416666666672,0.0,1.1176856258747603,1.1176856258747603
1997-02-28,-0.01655475,-0.01655475,0.0,1.0991826197598102,1.0991826197598102
1997-03-31,0.02465212499999998,0.02465212499999998,0.0,1.1262798070999567,1.1262798070999567
1997-04-30,0.022735583333333323,0.022735583333333323,0.0,1.1518864355109284,1.1518864355109284
1997-05-30,0.003822041666666654,0.003822041666666654,0.0,1.1562889934627192,1.1562889934627192
1997-06-30,0.04698166666666666,0.04698166666666666,0.75,1.2106133775239203,1.2106133775239203
1997-07-31,-0.02287083333333332,-0.02287083333333332,0.0,1.182925640735467,1.182925640735467
1997-08-29,0.025342500000000007,0.025342500000000007,0.0,1.2129039337858056,1.2129039337858056
1997-09-30,0.028205833333333336,0.028205833333333336,0.0,1.2471148999915123,1.2471148999915123
1997-10-31,0.0012041666666667275,0.0012041666666667275,0.0,1.2486166341835854,1.2486166341835854
1997-11-28,0.016114999999999956,0.016114999999999956,0.0,1.2687380912434536,1.2687380912434536
1997-12-31,0.024929999999999976,0.024929999999999976,0.0,1.3003677318581528,1.3003677318581528
1998-01-30,-0.005357499999999978,-0.005357499999999978,0.0,1.2934010117347228,1.2934010117347228
1998-02-27,0.001964999999999993,0.001964999999999993,0.0,1.2959425447227815,1.2959425447227815
1998-03-31,0.0032666666666666374,0.0032666666666666374,0.0,1.3001759570355425,1.3001759570355425
1998-04-30,0.014840833333333423,0.014840833333333423,0.0,1.3194716517179141,1.3194716517179141
1998-05-29,0.013636666666666653,0.013636666666666653,0.0,1.3374648468085075,1.3374648468085075
1998-06-30,0.0004583333333333219,0.0004583333333333219,0.0,1.3380778515299612,1.3380778515299612
1998-07-31,0.0486083333333333,0.0486083333333333,0.0,1.40311958576308,1.40311958576308
1998-08-31,0.05140666666666669,0.05140666666666669,0.0,1.475249286601874,1.475249286601874
1998-09-30,-0.012041666666666763,-0.012041666666666763,0.0,1.4574848264423763,1.4574848264423763
1998-10-30,-0.005427499999999946,-0.005427499999999946,0.0,1.4495743275468604,1.4495743275468604
1998-11-30,0.009538333333333399,0.009538333333333399,0.0,1.4634008506744451,1.4634008506744451
1998-12-31,0.0036183333333333137,0.0036183333333333137,0.0,1.4686959227524687,1.4686959227524687
1999-01-29,-0.0501841666666667,-0.0501841666666667,0.0,1.394990641782405,1.394990641782405
1999-02-26,0.008230833333333326,0.008230833333333326,0.0,1.4064725772564757,1.4064725772564757
1999-03-31,0.025838,0.025838,0.9999999999999999,1.4428130157076284,1.4428130157076284
1999-04-30,-0.03438366666666667,-0.03438366666666667,0.0,1.3932038139132092,1.3932038139132092
1999-05-31,0.03354633333333333,0.03354633333333333,0.0,1.4399406934560128,1.4399406934560128
1999-06-30,-0.007946,-0.007946,0.0,1.4284989247058113,1.4284989247058113
1999-07-30,0.01494933333333333,0.01494933333333333,0.0,1.4498540312975465,1.4498540312975465
1999-08-31,0.010060999999999966,0.010060999999999966,0.0,1.464441012706431,1.464441012706431
1999-09-30,0.007899666666666699,0.007899666666666699,0.0,1.4760096085598073,1.4760096085598073
1999-10-29,0.013009999999999999,0.013009999999999999,0.0,1.4952124935671705,1.4952124935671705
1999-11-30,0.025583999999999996,0.025583999999999996,0.0,1.533466010002593,1.533466010002593
1999-12-31,-0.0017266666666666312,-0.0017266666666666312,0.0,1.530818225358655,1.530818225358655
2000-01-31,0.0006980000000000328,0.0006980000000000328,0.0,1.5318867364799555,1.5318867364799555
2000-02-29,0.03663233333333333,0.03663233333333333,0.0,1.5880033220396015,1.5880033220396015
2000-03-31,-0.018755666666666667,-0.018755666666666667,0.0,1.5582192610658674,1.5582192610658674
2000-04-28,7.66666666666381e-05,7.66666666666381e-05,0.9999999999999999,1.5583387245425493,1.5583387245425493
2000-05-31,0.025711666666666688,0.025711666666666688,0.0,1.5984062103817456,1.5984062103817456
2000-06-30,0.005025833333333333,0.005025833333333333,0.0,1.606439533594089,1.606439533594089
2000-07-31,0.031035833333333335,0.031035833333333335,0.0,1.656296723218793,1.656296723218793
2000-08-31,-0.001774166666666666,-0.001774166666666666,0.0,1.653358176782349,1.653358176782349
2000-09-29,0.00916999999999991,0.00916999999999991,0.0,1.668519471263443,1.668519471263443
2000-10-31,0.028847500000000054,0.028847500000000054,0.0,1.7166520867107153,1.7166520867107153
2000-11-30,0.03481666666666667,0.03481666666666667,0.0,1.77642019019636,1.77642019019636
2000-12-29,0.004090000000000007,0.004090000000000007,0.0,1.783685748774263,1.783685748774263
2001-01-31,0.02279166666666668,0.02279166666666668,0.0,1.82433891979841,1.82433891979841
2001-02-28,0.0022949999999999837,0.0022949999999999837,0.0,1.828525777619347,1.828525777619347
2001-03-30,-0.03168750000000005,-0.03168750000000005,0.0,1.770584367041034,1.770584367041034
2001-04-30,0.0007933333333333351,0.0007933333333333351,0.0,1.7719890306388866,1.7719890306388866
2001-05-31,0.0018491666666666856,0.0018491666666666856,0.0,1.775265733688043,1.775265733688043
2001-06-29,0.03494,0.03494,0.0,1.8372935184231032,1.8372935184231032
2001-07-31,0.023081666666666664,0.023081666666666664,0.0,1.8797013149841724,1.8797013149841724
2001-08-31,0.02476666666666665,0.02476666666666665,0.0,1.9262552508852802,1.9262552508852802
2001-09-28,0.03408333333333334,0.03408333333333334,0.0,1.9919084506862865,1.9919084506862865
2001-10-31,-0.040673333333333304,-0.040673333333333304,0.0,1.9108908943020395,1.9108908943020395
2001-11-30,-0.021454999999999995,-0.021454999999999995,0.0,1.8698927301647892,1.8698927301647892
2001-12-31,0.005739166666666604,0.005739166666666604,0.0,1.8806243561919933,1.8806243561919933
2002-01-31,0.017454166666666715,0.017454166666666715,0.0,1.9134490871423613,1.9134490871423613
2002-02-28,-0.040050833333333334,-0.040050833333333334,0.0,1.8368138566614036,1.8368138566614036
2002-03-29,0.030957166666666706,0.030957166666666706,0.0,1.8936764093577136,1.8936764093577136
2002-04-30,0.007807249999999972,0.007807249999999972,0.0,1.9084608145046715,1.9084608145046715
2002-05-31,0.025129249999999992,0.025129249999999992,0.0,1.956419003427563,1.956419003427563
2002-06-28,0.03270158333333332,0.03270158333333332,0.0,2.020397002503066,2.020397002503066
2002-07-31,0.030737166666666677,0.030737166666666677,0.0,2.0824982819018367,2.0824982819018367
2002-08-30,0.04992025,0.04992025,0.0,2.186457116758947,2.186457116758947
2002-09-30,-0.02236033333333333,-0.02236033333333333,0.0,2.137567206809178,2.137567206809178
2002-10-31,-0.02333574999999998,-0.02333574999999998,0.0,2.087685472862881,2.087685472862881
2002-11-29,0.03658633333333333,0.03658633333333333,0.0,2.1640662294682,2.1640662294682
2002-12-31,0.017561666666666663,0.017561666666666663,0.9999999999999999,2.202070839234711,2.202070839234711
2003-01-31,0.012072999999999966,0.012072999999999966,0.0,2.228656440476792,2.228656440476792
2003-02-28,-0.022516666666666667,-0.022516666666666667,0.0,2.178474526292056,2.178474526292056
2003-03-31,0.0312766666666667,0.0312766666666667,0.0,2.2466099478927175,2.2466099478927175
2003-04-30,0.04693666666666666,0.04693666666666666,0.0,2.352058330146975,2.352058330146975
2003-05-30,-0.00551,-0.00551,0.0,2.339098488747865,2.339098488747865
2003-06-30,-0.007319333333333333,-0.007319333333333333,0.0,2.321977847209223,2.321977847209223
2003-07-31,0.021630666666666666,0.021630666666666666,0.0,2.3722037760295898,2.3722037760295898
2003-08-29,0.007965000000000033,0.007965000000000033,0.0,2.3910983791056655,2.3910983791056655
2003-09-30,0.030474666666666667,0.030474666666666667,0.0,2.4639663051761174,2.4639663051761174
2003-10-31,0.002791999999999967,0.002791999999999967,0.0,2.470845699100169,2.470845699100169
2003-11-28,0.045006999999999964,0.045006999999999964,0.0,2.5820510514795703,2.5820510514795703
2003-12-31,0.015060333333333332,0.015060333333333332,0.0,2.6209376009985363,2.6209376009985363
2004-01-30,0.02960899999999997,0.02960899999999997,0.0,2.698540942426502,2.698540942426502
2004-02-27,0.007664666666666666,0.007664666666666666,0.0,2.719224359236554,2.719224359236554
2004-03-31,-0.02223433333333333,-0.02223433333333333,0.0,2.6587642184251687,2.6587642184251687
2004-04-30,0.0070153333333333335,0.0070153333333333335,0.0,2.6774163356721608,2.6774163356721608
2004-05-31,-0.0067206666666666335,-0.0067206666666666335,0.0,2.6594223129522203,2.6594223129522203
2004-06-30,-0.0017916666666666654,-0.0017916666666666654,0.0,2.654657514641514,2.654657514641514
2004-07-30,0.002193999999999966,0.002193999999999966,0.0,2.6604818332286375,2.6604818332286375
2004-08-31,0.0275353333333333,0.0275353333333333,0.0,2.7337390873338654,2.7337390873338654
2004-09-30,0.013099999999999966,0.013099999999999966,0.0,2.769551069377939,2.769551069377939
2004-10-29,0.004873333333333332,0.004873333333333332,0.0,2.783048014922707,2.783048014922707
