split,precision,recall,f1,accuracy,roc_auc,directional_accuracy_active,ann_return,ann_vol,sharpe,max_drawdown,calmar,win_rate,best_period,worst_period,periods,avg_turnover
train,0.5405405405405406,0.75,0.6282722513089005,0.5034965034965035,0.4537698412698413,,0.01929524091683965,0.11778869312338913,0.16381233550682991,-0.4215495652563065,0.04577217605504574,0.4965034965034965,0.0876,-0.16940000000000002,143,0.24475524475524477
test,0.6,0.8947368421052632,0.7183098591549296,0.5833333333333334,0.46963562753036436,,0.12460224088198002,0.15795929518141857,0.7888249991168453,-0.24768571480466706,0.5030659155302734,0.6041666666666666,0.1268,-0.1251,96,0.16666666666666666
all,0.5663265306122449,0.8102189781021898,0.6666666666666666,0.5355648535564853,0.4655073708315443,,0.06035438911884561,0.1358515456348974,0.44426722446757233,-0.4215495652563065,0.14317269923442932,0.5397489539748954,0.1268,-0.16940000000000002,239,0.21338912133891214
