factor,selected_periods,avg_weight,median_weight,max_weight
credit_vs_rates_3m,97,0.4080447677295819,0.5,0.5
spx_mom_3m,68,0.36064771711463794,0.3709249733788893,0.5
spx_vs_bcom_6m,58,0.2968053030969303,0.2830997432196762,0.5
drawdown_6m,42,0.2751078127946672,0.2885022378567505,0.44502844344805975
spx_mom_12m,66,0.24239882472335259,0.19605119498239904,0.5
credit_carry_3m,222,0.22954300965538693,0.2711879741967842,0.5
rates_change_6m,188,0.2230227897891439,0.22711561126633184,0.5
vol_regime_3_12,237,0.15713595777991976,0.09585374532607145,0.5
