,ann_return,ann_vol,sharpe,max_drawdown,calmar,avg_turnover,delta_vs_standard
WalkForwardStrict,0.055785119221134716,0.07889399864654689,0.7288266156049541,-0.2208210237874525,0.2526259423325096,0.20083682008368195,0.0
StandardCausal,0.055785119221134716,0.07889399864654689,0.7288266156049541,-0.22082102378745228,0.2526259423325099,0.20083682008368195,0.0
