Date,spx_trend,bcom_trend,credit_vs_rates,risk_breadth,bcom_accel,yield_mom,spx_trend_z,bcom_trend_z,credit_vs_rates_z,risk_breadth_z,bcom_accel_z,yield_mom_z,composite_score,signal
1996-01-31,,,,,,,,,,,,,0.0,HOLD
1996-02-29,,,,,,,,,,,,,0.0,HOLD
1996-03-29,,,,,,,,,,,,,0.0,HOLD
1996-04-30,,,0.012348611111111123,0.03618016666666665,,-1.0899999999999999,,,,,,,0.0,HOLD
1996-05-31,,,0.009892499999999995,0.027687055555555548,,-0.7540000000000004,,,,,,,0.0,HOLD
1996-06-28,0.027557094592006504,0.027734097797120105,0.006933055555555584,0.013502611111111139,,-0.38400000000000034,,,,,,,0.0,HOLD
1996-07-31,-0.020434716056941693,-0.0028952140623329514,0.002859722222222237,-0.0064281666666666515,,-0.12399999999999967,,,,,,,0.0,HOLD
1996-08-30,-0.004939766391274247,0.024874543079987488,0.0014236111111110943,-0.0021291666666666945,,-0.0909999999999993,,,,,,,0.0,HOLD
1996-09-30,0.03792689464583687,0.016469887885703027,0.0007600000000000089,0.0022278888888888865,,0.008000000000000007,,,,,,,0.0,HOLD
1996-10-31,0.05152487283407914,-0.0006351981453256439,-0.0034361111111111064,0.0004434444444444269,,0.4549999999999992,,,,,,,0.0,HOLD
1996-11-29,0.10455550232602251,0.041760562894967324,-0.00772305555555555,-0.002397500000000019,,0.899,,,,,,,0.0,HOLD
1996-12-31,0.06268351234254999,0.03971966133317051,-0.0017433333333333474,0.00389577777777774,0.0007182500000000001,0.28500000000000014,,,,,,,0.0,HOLD
1997-01-31,0.0897472328687372,0.02698421318415778,0.0021691666666666548,0.019716166666666642,0.007480000000000002,-0.15499999999999936,,,,,,,0.0,HOLD
1997-02-28,0.062140164572943135,0.025043303021218488,0.006394444444444448,0.015266777777777782,-0.00661275,-0.508,,,,,,,0.0,HOLD
1997-03-31,0.0012320563880690028,0.030410827234626403,0.005001666666666647,0.012726333333333313,-0.0019685833333333326,-0.48499999999999943,,,,,,,0.0,HOLD
1997-04-30,0.03773633773633778,0.019304846894763195,0.002071944444444461,0.006574944444444462,0.001936083333333333,-0.2240000000000002,,,-0.1473719695723186,-0.2650102712951278,,-0.11447573704295189,-0.08780966298506639,HOLD
1997-05-30,0.07730407284642049,0.021747041850044058,0.0010613888888888923,0.010274277777777773,0.0016284999999999737,-0.1070000000000002,,,-0.3281297098237464,0.03839864637810518,,0.11520067966736428,-0.02908839729637949,HOLD
1997-06-30,0.09077689643982345,-0.03720525326428614,-0.003485000000000012,2.4333333333344948e-05,-0.019661083333333332,0.4029999999999996,1.2162792851599846,-4.412408928714822,-1.1839923224919806,-0.8082592555801158,,1.1338827673430332,0.059651745738486917,HOLD
1997-07-31,0.13673840924838054,-0.010402106619301632,-0.0048530555555555905,-0.001194833333333347,-0.015416166666666665,0.7069999999999999,2.2812577297731953,-1.3473941325605914,-1.35149758678915,-0.8670978378467924,,1.656054603086776,0.28645281803733813,HOLD
1997-08-29,0.04881414168111253,-0.013728368473854391,-0.002391666666666686,-0.007553777777777764,-0.01650616666666663,0.3199999999999994,-0.11420564281515669,-1.3734810348942315,-0.7837042473613957,-1.358256154427586,,0.7440649907376644,-0.252016842311079,HOLD
1997-09-30,0.06519734622736983,-0.003738971051423068,-0.0033844444444444486,-0.0006303333333333392,0.005708583333333334,0.39700000000000024,0.27131448183314566,-0.7977973406402968,-0.9332160423403201,-0.6780063645651623,,0.8591054226689443,-0.08013375040056539,HOLD
1997-10-31,0.007091105287498234,7.114096643712209e-05,-0.0050925000000000085,-0.012676277777777786,-0.005194666666666666,0.17999999999999972,-1.1358629719170337,-0.5839538853015283,-1.2071646152905184,-1.6633164465931625,,0.39760118508609854,-0.6014571414524361,SELL
1997-11-28,0.03171232137072111,-0.030748981707467427,-0.0063175000000000245,-0.0113672777777778,-0.010071,0.46500000000000075,-0.4733049556143385,-2.002007353723215,-1.3596622588247271,-1.403942882331751,,0.9525051959848168,-0.380734150131,SELL
1997-12-31,0.03209967579486972,-0.0647643898092829,-0.005541666666666674,-0.01891055555555556,-0.02265441666666667,0.36099999999999977,-0.448267500762298,-3.226192839073278,-1.1251479980590056,-1.8976723691934532,-1.9836183416903868,0.7006693709914669,-0.7923394731189461,SELL
1998-01-30,0.03779457536682984,-0.05143460397766075,-0.00471638888888892,-0.012968166666666675,-0.022524583333333334,0.3260000000000005,-0.2918867711111674,-2.0293008897357785,-0.9162800639457024,-1.2650945583704385,-1.6451032324562727,0.6055819752864491,-0.5854637750995222,SELL
1998-02-27,0.08228660816351074,-0.07615660068130914,-0.004495833333333352,-0.008930166666666663,-0.019161333333333332,0.2519999999999998,0.858376435460019,-2.611530258255293,-0.8385655966625744,-0.8963738124071323,-1.12497842281081,0.43518081189710706,-0.2610600974205652,HOLD
1998-03-31,0.10694897033065298,-0.0557764156485171,-0.0020791666666666975,0.0035847222222222144,-0.0033688333333333383,0.08800000000000008,1.461813150745832,-1.6068126416858448,-0.364011468129053,0.06131182005386496,0.4534305470793379,0.08084035680096482,0.28223073442515784,HOLD
1998-04-30,0.08130232859724917,-0.046883990938954456,0.003275277777777782,0.008206944444444449,-0.0072040833333333314,-0.16600000000000037,0.7142824435949447,-1.2314795844607271,0.6475943145295796,0.40870244612434437,0.06334644855221774,-0.46450842523437513,0.22823620459445193,HOLD
1998-05-29,0.03815607269243393,-0.07206457721062043,0.0006091666666666152,-0.007785277777777798,-0.004019500000000013,0.07000000000000028,-0.4113587799995537,-1.8709282119350572,0.12369465712466235,-0.8284751551184513,0.3819754007030957,0.06025523465242946,-0.11231810710630293,HOLD
1998-06-30,0.051835405656964095,-0.07374689746961416,-0.0020480555555556046,-0.01512183333333335,-0.015061166666666664,0.20800000000000018,-0.045455481232718635,-1.7525462284187392,-0.3930808380330164,-1.369252945316982,-0.769950061219842,0.3657058577414303,-0.3686722446768548,SELL
1998-07-31,0.017531328643179744,-0.10233581829808769,-0.0035119444444444998,-0.02251716666666669,-0.02306716666666667,0.1770000000000005,-0.9568614002414358,-2.351081407737086,-0.6730374317742635,-1.8616382255037796,-1.5754679369502915,0.28816130490023545,-0.7964739482615893,SELL
1998-08-31,-0.11854158385908165,-0.1305292454008007,-0.017167777777777792,-0.05026666666666666,-0.02263025,0.5759999999999996,-4.5497002424500845,-2.755237926693044,-3.3724728357855875,-3.748716705582609,-1.4017860376073965,1.2001366169336845,-1.9787565340819993,SELL
1998-09-30,-0.051203709318543345,-0.040242192765591156,-0.02142444444444447,-0.04650455555555557,0.0048705,1.0259999999999998,-1.9672007072141826,-0.46227389754776865,-3.522834232953928,-2.77869357885768,1.4120710537560408,2.178280658573527,-0.779729467782704,SELL
1998-10-30,0.027067957353126948,-0.042804047737398654,-0.022091111111111113,-0.030267333333333313,0.018014166666666664,0.8889999999999993,-0.29515785823780505,-0.5077002586353946,-2.996680151468065,-1.5380633180849856,2.5922063547063536,1.6913034439643022,-0.09106525485336664,HOLD
1998-11-30,0.07559273466746785,-0.08465739160693087,0.0006208333333333054,0.011162611111111104,0.017939750000000004,0.26199999999999957,0.663670868014634,-1.4116229653922214,0.35975632416007275,0.768424032074874,2.214215722221799,0.2780663435372828,0.7140222150014439,BUY
1998-12-31,0.11977396154856379,-0.0867714991041163,0.00474361111111107,0.008844944444444424,-0.01962116666666667,-0.22799999999999976,1.5248060925193958,-1.3887691746147657,0.8962085899649801,0.6242146724484814,-1.0531284018399505,-0.7678660776646684,0.20403914590470643,HOLD
1999-01-29,0.13822333836387712,-0.0700253912348534,0.007956944444444345,0.004865499999999933,-0.010618416666666661,-0.045999999999999375,1.8045486696942274,-0.9697816636365959,1.2965021637328071,0.39385402004661973,-0.28614074813396395,-0.3602271536678996,0.4747561586119652,BUY
1999-02-26,0.05742110948394008,-0.08716386235608808,0.00870916666666663,0.009064166666666642,0.0011374166666666616,-0.5729999999999995,0.1711273546658521,-1.3048614564411427,1.344919903723247,0.6196914607393958,0.682307035248284,-1.4971500634101125,0.2201492818277778,HOLD
1999-03-31,0.05788891523560569,0.01583657032214969,0.010544999999999955,0.022341222222222207,0.036380916666666666,-0.5940000000000003,0.1774522398316873,0.9132503626285161,1.5297532918121644,1.349396081121336,3.581239626900328,-1.4745973296891228,0.8605406516627322,BUY
1999-04-30,0.06355229024557962,0.06080145283954508,0.010964999999999977,0.02892822222222222,0.04675525,-0.6970000000000001,0.2845833445120449,1.8372216704610307,1.5142730080168514,1.6617384728437667,3.6172875825142765,-1.6275220837377056,0.9083933873582059,BUY
1999-05-31,0.01831019517403476,-0.0030891836272843864,0.003948055555555518,0.01748216666666665,0.03887,-0.33499999999999996,-0.6087000476049198,0.4233843005395705,0.571720827844917,0.9619861796702782,2.4753641155437744,-0.8063137749503153,0.4323428834172891,BUY
1999-06-30,0.0540294622392683,0.03766417501225394,0.005506666666666674,0.019073555555555562,0.01912908333333333,-0.5380000000000003,0.11108722330886141,1.25857204065784,0.7585100746069157,1.023997575080233,1.1471875320643368,-1.208110028586757,0.3054453960789316,HOLD
1999-07-30,0.0138837488792658,0.03763466734359655,0.0030388888888888865,0.008144444444444442,0.004949166666666667,-0.5549999999999997,-0.6977013164515321,1.2148494902126803,0.43022138164409207,0.4065123546740357,0.34346529115609503,-1.2055520911520716,-0.12050906335489685,HOLD
1999-08-31,-0.0028658704656755463,0.06253831931052334,0.0006863888888888806,0.018569611111111103,0.034305749999999996,-0.34799999999999986,-1.0234644606256837,1.6836756376647377,0.12223500158217557,0.9705400118347866,1.9375298823203189,-0.7464365305772767,0.21006731742238674,HOLD
1999-09-30,-0.030889358149585044,0.08847690104755435,-0.0011552777777778013,0.0035328333333332976,0.03524158333333331,-0.09699999999999953,-1.5643780161734477,2.1207122426967775,-0.1184082595589119,0.1250585804230767,1.85481752880917,-0.21687088286422646,0.013369825105943388,HOLD
1999-10-29,0.02613271897727798,0.03226873444540068,0.0028644444444444524,0.009467777777777785,0.01708283333333333,-0.12100000000000044,-0.3642545968274685,0.9088165319705009,0.41138994921938654,0.4522889878363128,0.8204893766313772,-0.26409383220222804,0.17596998077623002,HOLD
1999-11-30,0.03439133408387618,0.028630084510387288,0.006830833333333344,0.011621055555555565,-0.002359583333333334,-0.22100000000000009,-0.19315596168262367,0.8190768537592894,0.9325197315625404,0.5664549148469581,-0.18806361129386928,-0.47103802214126783,0.10778617521528966,HOLD
1999-12-31,0.08126771602356442,0.03453120051124947,0.011116111111111137,0.026480666666666708,-0.015393166666666633,-0.5650000000000004,0.7635216218847197,0.9165333618983246,1.4829023710440519,1.3957398576189715,-0.8578833422389958,-1.194262743210111,0.2650029608497728,HOLD
2000-01-31,0.018018730524525184,0.05954055338246578,0.010412500000000031,0.02526827777777779,0.010721416666666667,-0.641,-0.5446903476841397,1.3794961149027545,1.3389752306772795,1.2832499461656368,0.5147191810789328,-1.3230131257131648,0.21154014742075744,HOLD
2000-02-29,-0.008005149624667807,0.054257287649863706,0.0009827777777777966,0.009001222222222228,0.004485833333333335,-0.21799999999999997,-1.0737581995407905,1.2339697785083434,0.07111338438346512,0.3452738439037962,0.1799865340343005,-0.3978598500156729,-0.14587404787248365,HOLD
2000-03-31,0.060247271698179894,0.04777831601549076,-0.013064444444444436,-0.005963222222222225,0.005188083333333336,0.4380000000000006,0.3579590509966607,1.0768529319254923,-1.7789437935187287,-0.4963037483299338,0.2148738971804124,0.994229969493062,-0.11803077069642123,HOLD
2000-04-28,0.016864545714435852,0.015096607812306928,-0.015134444444444464,-0.011942888888888897,-0.012325833333333333,0.4530000000000003,-0.5490854295873171,0.4321094237201361,-1.9708742735742923,-0.827337265989627,-0.7278221546258922,1.00558099490647,-0.5115896881451099,SELL
2000-05-31,-0.009084208543852723,0.05407624264732758,-0.0103886111111111,0.0008956111111111219,-0.006637749999999994,0.13699999999999957,-1.0857005080072344,1.1725740748788942,-1.2824250881013588,-0.08633859906332755,-0.4072695567648045,0.316612518346562,-0.4241868722650272,SELL
2000-06-30,0.01636293552297685,0.05133519543728782,-0.00017055555555559043,0.0008896666666666572,0.0007534166666666696,-0.027000000000000135,-0.5286017647781045,1.091682974041061,0.02237221941775708,-0.08582218617836439,0.0015301548782411744,-0.03702755400795451,-0.10459152177807088,HOLD
2000-07-31,-0.00446224601262124,-0.010087163450842818,0.0008952777777777469,-0.005334277777777771,-0.006296166666666639,0.18100000000000005,-0.9610916520008478,-0.10139198643490431,0.15611763365171394,-0.44459716777871366,-0.38774351879988317,0.411993442543159,-0.20422021039742866,HOLD
2000-08-31,0.037763028335947135,0.06363913030438773,-0.004024444444444486,-0.0012266666666666687,0.0008003333333333612,0.5470000000000006,-0.051161025571807635,1.3171008480435937,-0.4697473087006512,-0.20030523301289918,0.013045686717591057,1.2034194771894289,0.08254193277027698,HOLD
2000-09-29,-0.010741852364091309,0.03752264453586762,-0.0013958333333333342,-0.006145277777777763,-0.004197416666666648,0.2290000000000001,-1.085257124154502,0.7836793884991478,-0.12826383616007841,-0.4875126648315203,-0.2690578472687858,0.48713422845648874,-0.24715954065973295,HOLD
2000-10-31,-0.013029338452083983,-0.00424153236106628,-0.006743888888888859,-0.004750444444444412,0.0031385833333333283,0.27999999999999936,-1.1114888391842912,-0.028906789484517473,-0.8173904951560985,-0.39938726913306366,0.15225084544901818,0.5928921458022551,-0.26385393537036334,HOLD
2000-11-30,-0.08087982600125587,0.055520259854831,-0.006214444444444467,-0.021702666666666665,-0.007440500000000008,0.2569999999999997,-2.530392081996202,1.1280339579555243,-0.736539059962115,-1.4069989529033955,-0.4589962222370416,0.5351818088009933,-0.7662907513829602,SELL
2000-12-29,-0.0624842449095524,0.06753993104336886,-0.014044722222222245,-0.02180672222222223,0.005034833333333329,0.6899999999999995,-1.9954403664245088,1.3366467424144008,-1.7447653262146416,-1.3763196762241576,0.2717577340278034,1.4859438349716492,-0.5598039666439759,SELL
2001-01-31,-0.022513276953736616,0.017826552438065413,-0.002884722222222278,-0.01243227777777782,0.011901416666666659,0.6370000000000005,-1.119287820903875,0.34997239806762753,-0.2583045676669984,-0.7913519094276593,0.6718036756332832,1.3289516481552508,-0.028031495701666437,HOLD
2001-02-28,-0.08232917113292182,0.006101520189201848,-0.0020327777777777866,-0.021367222222222235,-0.013981166666666675,0.5720000000000001,-2.2754672611976527,0.11984622289704956,-0.14618160008544523,-1.3068577973520856,-0.8655529269795855,1.1564383448712001,-0.5729368734572616,SELL
2001-03-30,-0.11096156130002777,-0.038065792122284114,0.004641111111111076,-0.027650888888888902,-0.034176916666666675,0.19500000000000028,-2.7027596970802263,-0.7426296179818236,0.7223733222458865,-1.6453856518975114,-2.046059543177064,0.31671252660559457,-0.8925198405505536,SELL
2001-04-30,-0.02015561425544732,-0.014930444907927054,0.0059336111111110935,-0.00792216666666666,-0.01822941666666667,-0.2240000000000002,-0.8824602026157345,-0.2797281539911956,0.881947180510308,-0.45576985313218166,-1.0319559534170408,-0.6012547032353683,-0.34824892198166957,SELL
2001-05-31,-0.007497523656979088,-0.030599527045054975,0.01343305555555554,0.008506500000000009,-0.016441083333333342,-0.4850000000000003,-0.6401213494901272,-0.5865124139333345,1.849750821598103,0.5042605010753918,-0.9093393004321385,-1.1677093115371024,-0.060526439797645604,HOLD
