Model,Annualized Return,Volatility,Sharpe Ratio,Max Drawdown,Win Rate,Cumulative Return,Information Ratio,Strategy-SPX Correlation,Indicator Pair Correlation,Indicator-to-SPX Correlation,Precision,Recall,F1 Score,Periods,Research Score
Trend Aware (Original),0.12150163550792814,0.12056594144718051,1.0077608489554868,-0.2367609012082309,0.6601123595505618,29.019079250538685,0.231583895018052,0.5580108717401709,0.16913930945087213,0.1543412626996403,0.6376404494382022,1.0,0.7787307032590051,356,62.625819652123916
Primary Unified V1,0.06490311630879031,0.07698970006849698,0.8430103799735114,-0.18760752174080852,0.6340782122905028,5.527565756032187,-0.14005203003054117,-0.1893311656261675,0.5870938749604834,0.31812320277658396,0.6875,0.5764192139737991,0.6270783847980997,358,39.30483947534652
Primary Joubert+QuantAtoZ,0.06035438911884561,0.13585154563489735,0.4442672244675725,-0.42154956525630616,0.5397489539748954,2.212919526650059,-0.4049561328637184,0.8899022002595751,0.28212125404640936,0.03637448593568579,0.5663265306122449,0.8102189781021898,0.6666666666666667,239,17.456729961184433
