Date,gross_return,cost_drag,net_return,turnover
1996-04-30,0.0,0.0,0.0,0.0
1996-05-31,0.009894069292597896,0.0,0.009894069292597896,0.0
1996-06-28,-0.0023189816097328453,0.0,-0.0023189816097328453,0.0
1996-07-31,-0.01257396353535617,0.0,-0.01257396353535617,0.0
1996-08-30,0.020440556554665618,0.0,0.020440556554665618,0.0
1996-09-30,0.010367352008922553,0.0,0.010367352008922553,0.0
1996-10-31,-0.004754446377370297,0.0,-0.004754446377370297,0.0
1996-11-29,0.024929789011065878,0.0,0.024929789011065878,0.0
1996-12-31,0.008937658009723737,0.0,0.008937658009723737,0.0
1997-01-31,0.019148670109779442,0.0,0.019148670109779442,0.0
1997-02-28,0.006396665546843372,0.0,0.006396665546843372,0.0
1997-03-31,0.0029356070761577535,0.0,0.0029356070761577535,0.0
1997-04-30,0.012575264947457504,0.0,0.012575264947457504,0.0
1997-05-30,0.017884521456873054,0.0,0.017884521456873054,0.0
1997-06-30,-0.0069356118989279125,0.0,-0.0069356118989279125,0.0
1997-07-31,0.016864654779719213,0.0,0.016864654779719213,0.0
1997-08-29,-0.005699684193534477,0.0,-0.005699684193534477,0.0
1997-09-30,0.010022753331925316,0.0,0.010022753331925316,0.0
1997-10-31,-0.01665947017354505,0.0,-0.01665947017354505,0.0
1997-11-28,0.003513836175467272,0.0,0.003513836175467272,0.0
1997-12-31,-0.010161366093582758,0.0,-0.010161366093582758,0.0
1998-01-30,-0.004945115870732125,0.0,-0.004945115870732125,0.0
1998-02-27,0.011146343652352703,0.0,0.011146343652352703,0.0
1998-03-31,0.014429377224205953,0.0,0.014429377224205953,0.0
1998-04-30,0.0002989730220407383,0.0,0.0002989730220407383,0.4682009249216725
1998-05-29,-0.012274225173476587,0.00023410046246083625,-0.012508325635937423,0.43108218143916877
1998-06-30,0.005523959482657116,0.00021554109071958438,0.0053084183919375316,0.25486781128853464
1998-07-31,-0.006139242383750822,0.00012743390564426733,-0.00626667628939509,0.2550798529997871
1998-08-31,-0.07186384386009091,0.00012753992649989354,-0.0719913837865908,0.12207957348508958
1998-09-30,0.026525386385176705,6.103978674254479e-05,0.02646434659843416,0.5067363138432481
1998-10-30,0.0032145014103123933,0.0002533681569216241,0.002961133253390769,0.16839901271116037
1998-11-30,0.008107421434514577,8.419950635558018e-05,0.008023221928158996,0.49651017559045996
1998-12-31,0.010321052375651635,0.00024825508779523,0.010072797287856405,0.2834976331428196
1999-01-29,0.018110188447868013,0.0001417488165714098,0.017968439631296605,0.12322090670594764
1999-02-26,-0.013544027982384906,6.161045335297382e-05,-0.01360563843573788,0.48794789875569355
1999-03-31,0.012903624320745346,0.0002439739493778468,0.012659650371367499,0.5717701207202508
1999-04-30,0.022107388535049382,0.0002858850603601254,0.021821503474689256,0.3096912318680838
1999-05-31,-0.012571873468874525,0.0001548456159340419,-0.012726719084808567,0.0
1999-06-30,0.029625387561671865,0.0,0.029625387561671865,0.36707231579255906
1999-07-30,-0.0041069250540067895,0.00018353615789627953,-0.004290461211903069,0.3173182046042028
1999-08-31,0.010303553232042512,0.0001586591023021014,0.010144894129740411,0.23494547677339095
1999-09-30,0.002993000535548317,0.00011747273838669547,0.0028755277971616216,0.30948273854867553
1999-10-29,0.009989066187537924,0.00015474136927433777,0.009834324818263586,0.42976517812341647
1999-11-30,0.012624605341143345,0.00021488258906170825,0.012409722752081636,0.2958131501928576
1999-12-31,0.029796251802418527,0.0001479065750964288,0.029648345227322098,0.17214744101088617
2000-01-31,-0.006671931146896281,8.607372050544308e-05,-0.006758004867401724,0.2686290453494796
2000-02-29,-0.004102411855765016,0.00013431452267473982,-0.004236726378439757,0.10169241264502701
2000-03-31,0.036354590619811424,5.084620632251351e-05,0.03630374441348891,0.0
2000-04-28,-0.01633454001362973,0.0,-0.01633454001362973,0.13096809855193395
2000-05-31,0.003205112075366168,6.548404927596697e-05,0.0031396280260902014,0.43884606051073877
2000-06-30,0.01796328650659524,0.0002194230302553694,0.01774386347633987,0.4068271219431472
2000-07-31,-0.009379812060385769,0.0002034135609715736,-0.009583225621357343,0.11672756284578613
2000-08-31,0.04276386604286986,5.8363781422893064e-05,0.04270550226144697,0.2019736150082837
2000-09-29,-0.015882833649735528,0.00010098680750414185,-0.01598382045723967,0.0
2000-10-31,-0.007581219967418029,0.0,-0.007581219967418029,0.3189022811239538
2000-11-30,0.00787930990427982,0.0001594511405619769,0.007719858763717844,0.32523583209753093
2000-12-29,0.015800688073458947,0.00016261791604876548,0.015638070157410183,0.16607595149397103
2001-01-31,0.020317691123646456,8.303797574698551e-05,0.020234653147899472,0.26006758693615295
2001-02-28,-0.03183423120753116,0.00013003379346807647,-0.03196426500099924,0.40420027649744356
2001-03-30,-0.007503045086340912,0.00020210013824872178,-0.007705145224589633,0.5269312028730285
2001-04-30,0.03607403440351239,0.00026346560143651425,0.03581056880207587,0.4630910046094108
2001-05-31,0.0037618320552429765,0.0002315455023047054,0.0035302865529382712,0.3903194313903116
2001-06-29,-0.003828404408082692,0.00019515971569515582,-0.004023564123777848,0.38419381936887487
2001-07-31,0.007541438362851928,0.00019209690968443745,0.007349341453167491,0.11693915927576112
2001-08-31,-0.015440120340582173,5.8469579637880566e-05,-0.015498589920220055,0.0
2001-09-28,-0.034982887578194136,0.0,-0.034982887578194136,0.3177724172872519
2001-10-31,0.004350726930083863,0.00015888620864362596,0.004191840721440237,0.4369698091954566
2001-11-30,0.03355422388443878,0.00021848490459772828,0.03333573897984105,0.5203012033797505
2001-12-31,0.019127635466918865,0.00026015060168987523,0.01886748486522899,0.6869384461097048
2002-01-31,-0.004278425261305759,0.0003434692230548524,-0.004621894484360611,0.24796924708044818
2002-02-28,0.00786801070046564,0.0001239846235402241,0.007744026076925416,0.7981511681519355
2002-03-29,0.030617474904179015,0.0003990755840759678,0.030218399320103048,0.767955661876157
2002-04-30,-0.00913010207371223,0.0003839778309380785,-0.009514079904650308,0.2549882882810976
2002-05-31,-0.0030916995281975983,0.0001274941441405488,-0.0032191936723381474,0.19450899005479683
2002-06-28,-0.006715572084799306,9.725449502739841e-05,-0.006812826579826704,0.2758418335319115
2002-07-31,-0.02729302056875597,0.00013792091676595575,-0.027430941485521925,0.2599190679507474
2002-08-30,0.02481375144756754,0.00012995953397537368,0.024683791913592167,0.0
2002-09-30,-9.772518910450799e-05,0.0,-9.772518910450799e-05,0.5320158576132246
2002-10-31,0.031565775100761376,0.0002660079288066123,0.03129976717195476,0.44197003425018244
2002-11-29,0.04649810720305615,0.00022098501712509123,0.04627712218593106,0.10197228627986955
2002-12-31,-0.03135487946119639,5.0986143139934777e-05,-0.03140586560433632,0.10486572879047593
2003-01-31,0.013967363403040285,5.2432864395237966e-05,0.013914930538645048,0.13100204545069893
2003-02-28,-0.01773328086319924,6.550102272534947e-05,-0.017798781885924587,0.4848065272595222
2003-03-31,0.0013417455422726622,0.00024240326362976112,0.001099342278642901,0.19118639099655516
2003-04-30,0.03528776523419579,9.559319549827758e-05,0.03519217203869752,0.11225216287730391
2003-05-30,0.010763305806699859,5.6126081438651955e-05,0.010707179725261206,0.40487340163456387
2003-06-30,-0.0009798902596937897,0.00020243670081728193,-0.0011823269605110715,0.3573864866985998
2003-07-31,0.039282349276951095,0.0001786932433492999,0.039103656033601795,0.5312016897919194
2003-08-29,0.01682492271330711,0.0002656008448959597,0.01655932186841115,0.7160729814027298
2003-09-30,0.007440420425019833,0.0003580364907013649,0.007082383934318468,0.2580978944046213
2003-10-31,0.0434839926287283,0.00012904894720231063,0.04335494368152599,0.19618048285914744
2003-11-28,0.0024051470080612126,9.809024142957373e-05,0.002307056766631639,0.2398540969664034
2003-12-31,0.04198708268506193,0.0001199270484832017,0.04186715563657873,0.0
2004-01-30,0.014652652816208476,0.0,0.014652652816208476,0.4178618011676535
2004-02-27,0.014941083740991958,0.00020893090058382674,0.01473215284040813,0.48584165546056374
2004-03-31,0.009395929201029683,0.00024292082773028187,0.0091530083732994,0.6860611918117473
2004-04-30,0.03466168869177533,0.00034303059590587366,0.03431865809586945,0.18058200064331503
2004-05-31,0.014095173264664213,9.029100032165752e-05,0.014004882264342556,0.494758643077662
2004-06-30,0.002308308920360865,0.000247379321538831,0.002060929598822034,0.1087656112776039
