Date,spx_trend,bcom_trend,credit_vs_rates,risk_breadth,spx_trend_z,bcom_trend_z,credit_vs_rates_z,risk_breadth_z,composite_score,signal
1996-01-31,,,,,,,,,,
1996-02-29,,,,,,,,,,
1996-03-29,,,,,,,,,,
1996-04-30,,,0.012348611111111123,0.03618016666666665,,,,,,
1996-05-31,,,0.009892499999999995,0.027687055555555548,,,,,,
1996-06-28,,,0.006933055555555584,0.013502611111111139,,,,,,
1996-07-31,,,0.002859722222222237,-0.0064281666666666515,,,,,,
1996-08-30,,,0.0014236111111110943,-0.0021291666666666945,,,,,,
1996-09-30,,,0.0007600000000000089,0.0022278888888888865,,,,,,
1996-10-31,,,-0.0034361111111111064,0.0004434444444444269,,,,,,
1996-11-29,,,-0.00772305555555555,-0.002397500000000019,,,,,,
1996-12-31,0.09764328889931662,0.06791647367518405,-0.0017433333333333474,0.00389577777777774,,,,,,
1997-01-31,0.14374252117711683,0.056437829322895317,0.0021691666666666548,0.019716166666666642,,,,,,
1997-02-28,0.12992041606538174,0.05071606965149367,0.006394444444444448,0.015266777777777782,,,,,,
1997-03-31,0.06758163637004588,0.05730126942619296,0.005001666666666647,0.012726333333333313,,,,,,
1997-04-30,0.1107263438394821,0.053900564846070864,0.002071944444444461,0.006574944444444462,,,-0.1473719695723186,-0.2650102712951278,-0.20619112043372317,SELL
1997-05-30,0.1519504607525719,0.056068724270214254,0.0010613888888888923,0.010274277777777773,,,-0.3281297098237464,0.03839864637810518,-0.1448655317228206,SELL
1997-06-30,0.17351847391599295,-0.012137219804799648,-0.003485000000000012,2.4333333333344948e-05,,,-1.1839923224919806,-0.8082592555801158,-0.9961257890360482,SELL
1997-07-31,0.22273284444577324,0.0083314132204646,-0.0048530555555555905,-0.001194833333333347,,,-1.35149758678915,-0.8670978378467924,-1.1092977123179713,SELL
1997-08-29,0.12282169071753146,-9.191006008646418e-05,-0.002391666666666686,-0.007553777777777764,,,-0.7837042473613957,-1.358256154427586,-1.0709802008944909,SELL
