variant,group,aggregation_mode,included_indicators,indicator_count,ann_return,ann_vol,sharpe,max_drawdown,calmar,avg_turnover,ending_equity_net,periods,buy_count,hold_count,sell_count,delta_sharpe_vs_baseline,rank_by_sharpe,removed_indicator
leave_one_out_bcom_trend,leave_one_out,dynamic,"spx_trend,credit_vs_rates,risk_breadth",3,0.06799809224520903,0.07738138827440054,0.8909425154096315,-0.2237968335104541,0.30383849127173945,0.20041899441340777,7.117911130035039,358,199,15,146,0.05308329122254818,3,bcom_trend
leave_one_out_spx_trend,leave_one_out,dynamic,"bcom_trend,credit_vs_rates,risk_breadth",3,0.06904957574536441,0.07910608692607063,0.8857102575580349,-0.1884897226664728,0.3663307196199003,0.1892458100558659,7.329973268204888,358,205,15,140,0.047851033370951535,4,spx_trend
leave_one_out_credit_vs_rates,leave_one_out,dynamic,"spx_trend,bcom_trend,risk_breadth",3,0.06417824950255735,0.0769619756706448,0.848575179850519,-0.16767783111002332,0.38274737380427,0.17807262569832402,6.396301851922383,358,197,15,148,0.010715955663435639,7,credit_vs_rates
leave_one_out_risk_breadth,leave_one_out,dynamic,"spx_trend,bcom_trend,credit_vs_rates",3,0.06190059809556203,0.07690200513852663,0.8212139577666405,-0.2208210237874524,0.28032022057439343,0.18365921787709494,6.000240408415072,358,200,15,145,-0.01664526642044284,9,risk_breadth
