Date,Price,Return
2008-11-28,896.24,-0.0748
2008-12-31,903.25,0.0078000000000000005
2009-01-30,825.88,-0.0857
2009-02-27,735.09,-0.1099
2009-03-31,797.87,0.08539999999999999
2009-04-30,872.81,0.09390000000000001
2009-05-29,919.14,0.053099999999999994
2009-06-30,919.32,0.0002
2009-07-31,987.48,0.0741
2009-08-31,1020.63,0.0336
2009-09-30,1057.08,0.035699999999999996
2009-10-30,1036.2,-0.019799999999999998
2009-11-30,1095.63,0.0574
2009-12-31,1115.1,0.0178
2010-01-29,1073.87,-0.037000000000000005
2010-02-26,1104.49,0.0285
2010-03-31,1169.43,0.0588
2010-04-30,1186.69,0.0148
2010-05-31,1089.41,-0.08199999999999999
2010-06-30,1030.71,-0.053899999999999997
2010-07-30,1101.6,0.0688
2010-08-31,1049.33,-0.047400000000000005
2010-09-30,1141.2,0.0876
2010-10-29,1183.26,0.0369
2010-11-30,1180.55,-0.0023
2010-12-31,1257.64,0.0653
2011-01-31,1286.12,0.0226
2011-02-28,1327.22,0.032
2011-03-31,1325.83,-0.001
2011-04-29,1363.61,0.0285
2011-05-31,1345.2,-0.013500000000000002
2011-06-30,1320.64,-0.0183
2011-07-29,1292.28,-0.0215
2011-08-31,1218.89,-0.056799999999999996
2011-09-30,1131.42,-0.0718
2011-10-31,1253.3,0.10769999999999999
2011-11-30,1246.96,-0.0051
2011-12-30,1257.61,0.0085
2012-01-31,1312.41,0.0436
2012-02-29,1365.68,0.0406
2012-03-30,1408.47,0.0313
2012-04-30,1397.91,-0.0075
2012-05-31,1310.33,-0.06269999999999999
2012-06-29,1362.16,0.039599999999999996
2012-07-31,1379.32,0.0126
2012-08-31,1406.58,0.019799999999999998
2012-09-28,1440.67,0.0242
2012-10-31,1412.16,-0.019799999999999998
2012-11-30,1416.18,0.0028000000000000004
2012-12-31,1426.19,0.0070999999999999995
2013-01-31,1498.11,0.0504
2013-02-28,1514.68,0.0111
2013-03-29,1569.19,0.036000000000000004
2013-04-30,1597.57,0.0181
2013-05-31,1630.74,0.0208
2013-06-28,1606.28,-0.015
2013-07-31,1685.73,0.0495
2013-08-30,1632.97,-0.0313
2013-09-30,1681.55,0.0297
2013-10-31,1756.54,0.0446
2013-11-29,1805.81,0.027999999999999997
2013-12-31,1848.36,0.0236
2014-01-31,1782.59,-0.0356
2014-02-28,1859.45,0.0431
2014-03-31,1872.34,0.0069
2014-04-30,1883.95,0.0062
2014-05-30,1923.57,0.021
2014-06-30,1960.23,0.0191
2014-07-31,1930.67,-0.0151
2014-08-29,2003.37,0.0377
2014-09-30,1972.29,-0.0155
2014-10-31,2018.05,0.0232
2014-11-28,2067.56,0.0245
2014-12-31,2058.9,-0.0042
2015-01-30,1994.99,-0.031
2015-02-27,2104.5,0.054900000000000004
2015-03-31,2067.89,-0.0174
2015-04-30,2085.51,0.0085
2015-05-29,2107.39,0.0105
2015-06-30,2063.11,-0.021
