,spx_mom_3m,spx_mom_12m,spx_vs_bcom_6m,rates_change_6m,credit_carry_3m,vol_regime_3_12,drawdown_6m,credit_vs_rates_3m
spx_mom_3m,1.0,0.452873330009125,0.2844932875479339,0.1693890369813976,0.4382879495414038,-0.36490557567478976,0.8117947339827766,-0.1524107282520766
spx_mom_12m,0.452873330009125,1.0,0.15155568589307203,0.16868342404170936,0.009715901630102521,-0.1986551888253886,0.6339045692072907,-0.14987483977724822
spx_vs_bcom_6m,0.2844932875479339,0.15155568589307203,1.0,-0.16631072675445355,0.2477048625085249,-0.1103496728330916,0.2924664406924188,0.23622441108900524
rates_change_6m,0.1693890369813976,0.16868342404170936,-0.16631072675445355,1.0,-0.38854235892592537,-0.0037423486505835657,0.22103044869995267,-0.6556736695100431
credit_carry_3m,0.4382879495414038,0.009715901630102521,0.2477048625085249,-0.38854235892592537,1.0,-0.27033129422257934,0.26540729800050417,0.6025979440723574
vol_regime_3_12,-0.36490557567478976,-0.1986551888253886,-0.1103496728330916,-0.0037423486505835657,-0.27033129422257934,1.0,-0.3068918642604537,-0.004858044207092431
drawdown_6m,0.8117947339827766,0.6339045692072907,0.2924664406924188,0.22103044869995267,0.26540729800050417,-0.3068918642604537,1.0,-0.14071947750816122
credit_vs_rates_3m,-0.1524107282520766,-0.14987483977724822,0.23622441108900524,-0.6556736695100431,0.6025979440723574,-0.004858044207092431,-0.14071947750816122,1.0
