decision_date,gross_return,net_return,turnover,equity_gross,equity_net
2006-01-31,-0.015056083333333343,-0.015056083333333343,0.0,0.9849439166666667,0.9849439166666667
2006-02-28,-0.0015341249999999986,-0.0015341249999999986,0.0,0.9834328895805104,0.9834328895805104
2006-03-31,0.014865458333333309,0.014865458333333309,0.0,0.9980520702241992,0.9980520702241992
2006-04-28,-0.007247937499999963,-0.007247937499999963,0.0,0.9908182511974686,0.9908182511974686
2006-05-31,-0.0038343750000000105,-0.0038343750000000105,0.0,0.9870190824655333,0.9870190824655333
2006-06-30,0.01625358333333334,0.01625358333333334,0.0,1.003061679373977,1.003061679373977
2006-07-31,0.0063523750000000325,0.0063523750000000325,0.0,1.0094335033094903,1.0094335033094903
2006-08-31,-0.0038794583333333563,-0.0038794583333333563,0.0,1.0055174480931304,1.0055174480931304
2006-09-29,0.022213208333333352,0.022213208333333352,0.0,1.0278532166504246,1.0278532166504246
2006-10-31,0.02431718749999996,0.02431718749999996,0.0,1.052847716042191,1.052847716042191
2006-11-30,-0.015804354166666663,-0.015804354166666663,0.0,1.036208137854294,1.036208137854294
2006-12-29,0.0016591250000000076,0.0016591250000000076,0.0,1.0379273366810116,1.0379273366810116
2007-01-31,0.01325429166666667,0.01325429166666667,0.0,1.0516843283301882,1.0516843283301882
2007-02-28,0.001743937500000006,0.001743937500000006,0.0,1.0535184000685254,1.0535184000685254
2007-03-30,0.015907687499999972,0.015907687499999972,0.0,1.0702774415523153,1.0702774415523153
2007-04-30,0.0002323333333333487,0.0002323333333333487,0.0,1.0705261026779027,1.0705261026779027
2007-05-31,-0.011975312499999998,-0.011975312499999998,0.0,1.0577062180589278,1.0577062180589278
2007-06-29,0.0037799999999999796,0.0037799999999999796,0.0,1.0617043475631904,1.0617043475631904
2007-07-31,0.0007165000000000027,0.0007165000000000027,0.0,1.0624650587282194,1.0624650587282194
2007-08-31,0.029753458333333337,0.029753458333333337,0.0,1.094077068583712,1.094077068583712
2007-09-28,0.017511395833333318,0.017511395833333318,0.0,1.1132358852038544,1.1132358852038544
2007-10-31,-0.005795458333333331,-0.005795458333333331,0.0,1.106784173015984,1.106784173015984
2007-11-30,0.008142520833333318,0.008142520833333318,0.0,1.11579618620277,1.11579618620277
2007-12-31,0.007124541666666666,0.007124541666666666,0.0,1.1237457226228795,1.1237457226228795
2008-01-31,0.024314937500000015,0.024314937500000015,0.0,1.1510695296343472,1.1510695296343472
2008-02-29,-0.017977166666666676,-0.017977166666666676,0.0,1.1303765608551888,1.1303765608551888
2008-03-31,0.016719958333333337,0.016719958333333337,0.0,1.149276409853664,1.149276409853664
2008-04-30,0.0004973958333333336,0.0004973958333333336,0.0,1.1498480551512738,1.1498480551512738
2008-05-30,0.001972354166666675,0.001972354166666675,0.0,1.152115962753885,1.152115962753885
2008-06-30,-0.033003374999999995,-0.033003374999999995,0.0,1.1140922475916326,1.1140922475916326
2008-07-31,-0.01001237500000001,-0.01001237500000001,0.0,1.1029375382241524,1.1029375382241524
2008-08-29,-0.07069491666666665,-0.07069491666666665,0.0,1.0249654608708576,1.0249654608708576
2008-09-30,-0.11375770833333333,-0.11375770833333333,0.0,0.90836773892137,0.90836773892137
2008-10-31,-0.003214208333333343,-0.003214208333333343,0.0,0.9054480557651978,0.9054480557651978
2008-11-28,0.023377208333333357,0.023377208333333357,0.0,0.9266149035998326,0.9266149035998326
2008-12-31,-0.04664685416666667,-0.04664685416666667,0.0,0.8833912333229512,0.8833912333229512
2009-01-30,-0.04661877083333334,-0.04661877083333334,0.0,0.8422086198604929,0.8422086198604929
2009-02-27,0.03734397916666667,0.03734397916666667,0.0,0.8736600410145503,0.8736600410145503
2009-03-31,0.024815770833333334,0.024815770833333334,0.0,0.8953405883786081,0.8953405883786081
2009-04-30,0.048905354166666644,0.048905354166666644,0.0,0.9391275369530556,0.9391275369530556
2009-05-29,0.001244958333333341,0.001244958333333341,0.0,0.9402967116062482,0.9402967116062482
2009-06-30,0.0392242083333333,0.0392242083333333,0.0,0.9771791057174399,0.9771791057174399
2009-07-31,0.013949541666666673,0.013949541666666673,0.0,0.9908103063684414,0.9908103063684414
